id,tweet,subtask_b
86426,@user she should ask a few native americans what their take on this is.,UNT
90194,@user @user go home you’re drunk!!! @user maga trump2020  oncoming fist  united_states: oncoming fist  http,TIN
62688,"@user someone should'vetaken"" this piece of shit to a volcano.  face with tears of joy """,UNT
97670,@user liberals are all kookoo !!!,TIN
77444,@user @user oh noes! tough shit.,UNT
52415,@user was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism,TIN
13384,@user canada doesn’t need another cuck! we already have enough looney left liberals f**king up our great country! q proofs trudeau must go,TIN
28414,@user you are a lying corrupt traitor!!! nobody wants to hear anymore of your lies!!! deep state corruption http,TIN
28195,@user @user @user gun control! that is all these kids are asking for!,TIN
56117,@user @user @user @user lol!!!   throwing the bullshit flag on such nonsense!!  put up or shut up   kavanaugh   maga   call the vote already http,TIN
12681,@user @user kind of like when conservatives wanna associate everyone to their left as communist antifa members?,TIN
82904,@user @user da fuck is going on people?   there's the men's room and the women's room  pick one and stick w it  thinking face ,TIN
77665,@user tbh these days i just don't like people in general i just don't connect with people these days just a annoyance..,TIN
25440,@user @user @user she?  to whom are you referring to?  hillary?  you know what is tiresome?  bernie supporters bashing hillary clinton.  she is an actual democrat who raises money for the democratic party and doesn’t bash them.  she has a positive message.  so who is dividing the left?,UNT
12609,the only thing the democrats have is lying and stalling to stop trump from being president.  what have they done for you lately. trump kavanaugh maga dem suck,TIN
12108,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user you are not very smart are you? why do you think gen flynn’s sentencing keeps being rescheduled? http,TIN
14726,@user @user @user that's expected if you placate the violent leftists/terrorists. kavanaugh confirmation woke,TIN
84102,4 out of 10 british people are basically full-on racists. 4 out of 10 voters vote for the conservatives. coincidence!???!???,TIN
98992,@user fuck off,TIN
33853,"@user @user the prison system is so fucked.  why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane? they did this in louisiana and like 500 inmates went missing""""",TIN
75215,@user @user she is useless.  attempts to do the right thing but never follows through.,TIN
57013,@user grateful trump doesn’t have a dog in the white house. he is a cruel man.,TIN
74831,@user trump kicks dem butt - its so fun.,TIN
53264,@user @user @user he is dumb and dumber all in one president.  it's a two for one.,TIN
84664,@user and this from the clown that should be in prison?,TIN
48995,@user thats because you are an old man.,TIN
47153,@user @user @user they are obstructionists. anti-american. pharisees. ask them what they are running on and you get nothing. maga!,TIN
64429,@user i mean it worked for gun control right? http,TIN
45068,@user she is drinking so much koolaid she’s bloated.,TIN
84667,@user @user @user @user the institution only let her tweet when she behaves. she is a window licker!!!!,TIN
93119,wtc this is a threat!!! ..@user maga q a non wake up america http,TIN
21379,@user @user @user please call trump out for what he is...a narcissistic sociopath!,TIN
52252,@user fuck em,TIN
91001,@user good move....he is the big loser,TIN
66349,"@user it's literally a narrative that is on par with nazis punch, antifa punch, they are two sides of the same coin."" noooooooo one of these groups wants to exterminate or deport all poc and jews, the other just wants to prevent them from doing that, and this comparison benefits fash""",UNT
80561,@user @user there are many dumb arguments for gun control but this may be the dumbest and most common.,TIN
39907,@user @user @user please don't kill me. antifa on the other hand...,TIN
77294,@user @user she is an ugly black hearted troll http,TIN
16940,@user dont believe the hype.,UNT
28841,@user @user we have been saved from you! maga!,TIN
59998,"@user you can probably imagine all the sjw snowflakes that don't feel safe"" working where there might be conservatives lurking in the shadows.  conservatives are now the ruskies of the 21st century.""",TIN
28812,@user this all i get  crying face  damn these haters deleting you ig for no reason... http,TIN
64776,@user sjshsj thats my job bitch,TIN
69972,@user @user @user what part of no collusion don't you get??? this is why you are a dumocrat,TIN
96789,"@user if the reason for farakans illegal values are because he is black or muslim, that would be a reason to detest him. i believe his illegal values are simply a result of bad character, like his supporters!""",TIN
68629,@user let the leftist democrats riot in the streets with their antifa counterparts.,TIN
77319,@user @user antifa is not giving death threats to professor ford or threatening violence if their candidate loses or spanky is impeached.,TIN
49504,@user so has the law changed...you just make an allegation now days and your guilty until proven innocent. liberals are mentally ill!,TIN
31229,@user this game sucks donkey balls,TIN
88546,@user absolutely should be a nail in the coffin.... for hilliary,TIN
32897,@user he is a dumbass !!!!!,TIN
62072,@user @user @user @user @user @user @user @user @user @user @user ...and levi strauss wanting gun control how many of us wonder why the heck do they want our freedoms taken away ~ or is it just selective freedoms? http,TIN
95444,@user at this point in time... i don't think pres. trump gives a sh*t... and neither do i! lol http,TIN
62481,@user donnie jr. you and your family owe the country an apology for taking your criminal activities into our white house you are lining your pockets while your father is unfit and making a mockery of our republic. shame on you and your family. justice will prevail,TIN
39021,@user oh my carmen. he is so fricking cute,TIN
68840,@user chelsea is as crazy as her mother,TIN
32916,"@user and the brainless dems wants us to believe that he doesn't have the majority. liberals is just like their leaders"" the corrupts obama and crooked hillary both are real bad losers maga trump""",TIN
18547,@user @user california gun control is direct result of white people scared of black panthers using their right to bear arms. nra had no problem with that gun control!,TIN
82607,@user @user and yet millions of permit holding people carried legally concealed firearms that same day and didn’t hurt themselves or anyone else.   but yet they want to have stronger gun control.   idiots!   face with raised eyebrow   our wonderful media has to hype incidents that fits their agenda.,TIN
82339,@user yes do hurt your selves gun control freaks.,TIN
34510,@user @user @user bullshit! regulations are good because it keeps conservatives from striping our land into the abyss,TIN
53501,@user the owner of my culo,TIN
69928,now she scarred herself for life lol maga http,TIN
31853,@user you fucking -,TIN
13872,confirm the man! the left wing activist is a liar who's story changes! no hard evidence! christine blase y ford innocent until proven guilty! confirm kavanaugh  maga  @user  weak rinos republicans,TIN
28985,i'm assuming i'm not going to get an answer': brainless  liberal stooge ocasio-cortez  .@user on $40t policy plan http wake up america  this is not america's future vote republican  or surrender america to these dem morons @user maga,TIN
74004,@user @user leftists showing yet again how vile they can be,TIN
70838,@user he is a drunk crazy man.,TIN
15991,@user all that money hadn't made u smarter.,TIN
38837,@user yeah we need some more made up bullshit protestors and antifa lol time for an epic beatdown winking face ,UNT
16885,@user by the way why don’t you move to haiti ? you liberals seem to make shit holes out of large cities. so go somewhere where it’s already a shit hole so you don’t have to do any work !,TIN
19514,shouldn't pussy grabbing @user be the one wearing the gloves while handling food? maga http,TIN
34317,"@user @user @user @user @user @user @user @user @user @user @user @user antifa doesn't beat facsists to try to get them to change their mind - they know it's a lost cause to try to change a fascist's mind. they do it to scare them into hiding, to demoralize them, and to stop the spread of their hateful ideology. there is no forcing views on others"".""",TIN
36289,fire morning joe he is cut from the same cloth as all other conservatives. his misogyny and bigotry are always on display. he is responsible for trump. http,TIN
80570,@user @user truly has got to be the most idiotic thing i've ever seen.,UNT
86477,@user @user @user @user @user @user @user @user @user it does work. if you want to control a population.  australian gun control had no effect on homicides.,TIN
44015,@user @user liberals ruin everything!,TIN
11411,@user that's what happens when you let a liberal get a hold of a gun.  that would be a good place to start gun control.  ban liberals from getting guns.,TIN
10133,@user @user you look happy .maga,TIN
29497,@user yet she is fat herself.,TIN
