sentence_idx,word,tag
1,Saya,O
1,memakai,O
1,Honda,B-MERK
1,Jazz,I-MERK
1,GK5,I-MERK
1,tahun,O
1,2014,O
1,(,O
1,pertama,O
1,meluncur,O
1,),O
1,.,O
1,Mobil,O
1,nya,O
1,bagus,O
1,dan,O
1,enak,O
1,sesuai,O
1,moto,O
1,nya,O
1,menyenangkan,O
1,untuk,O
1,dikendarai,O
2,Avanza,B-MERK
2,kenapa,O
2,jadi,O
2,boros,O
2,bensin,O
2,begini,O
2,dah,O
2,ah.,O
2,Baru,O
2,diisi,O
2,sudah,O
2,mau,O
2,setengah,O
2,saja,O
2,.,O
3,saran,O
3,ku,O
3,dan,O
3,pengalaman,O
3,ku,O
3,",",O
3,mending,O
3,beli,O
3,mobil,O
3,niaga,B-MERK
3,L300,I-MERK
3,atau,O
3,canter,B-MERK
3,.,O
3,irit,O
3,dan,O
3,bandel,O
3,.,O
4,Dari,O
4,segi,O
4,harga,O
4,juga,O
4,pajero,B-MERK
4,lebih,O
4,mahal,O
4,30,O
4,jutaan,O
4,dibanding,O
4,fortuner,B-MERK
5,Kalo,O
5,menurut,O
5,gw,O
5,enak,O
5,pajero,B-MERK
5,si,O
6,CH,B-MERK
6,-,I-MERK
6,R,I-MERK
6,versi,I-MERK
6,negara,I-MERK
6,ini,O
6,kurang,O
6,worth,O
6,it,O
6,soal,O
6,fitur,O
6,dan,O
6,kelengkapan,O
7,@LinaRadj,O
7,kapan-kapan,O
7,coba,O
7,bengkel,O
7,daihatsu,B-MERK
7,",",O
7,mereka,O
7,mau,O
7,kok,O
7,.,O
7,Servis,O
7,lebih,O
7,bagus,O
7,.,O
8,Mending,O
8,confero,B-MERK
8,harga,O
8,nya,O
8,lebih,O
8,murah,O
8,daripada,O
8,formo.,B-MERK
9,kalo,O
9,soal,O
9,servis,O
9,mending,O
9,pilih,O
9,grand,B-MERK
9,livina,I-MERK
9,soalnya,O
9,after,O
9,sales,O
9,service,O
9,nya,O
9,mudah,O
9,dan,O
9,cepat,O
10,Lampu,O
10,utama,O
10,depan,O
10,Grand,B-MERK
10,New,I-MERK
10,Veloz,I-MERK
10,juga,O
10,mendapatkan,O
10,perubahan,O
10,desain,O
10,dan,O
10,terkesan,O
10,lebih,O
10,agresif,O
10,dan,O
10,sedikit,O
10,menonjol,O
11,Motor,B-MERK
11,beat,I-MERK
11,aku,O
11,yang,O
11,menemani,O
11,aku,O
11,di,O
11,saat,O
11,ke,O
11,mana,O
11,saja,O
11,dan,O
11,yang,O
11,penting,O
11,bbm,O
11,-,O
11,nya,O
11,ramah,O
11,lingkungan,O
11,dan,O
11,ramah,O
11,juga,O
11,di,O
11,kantong,O
11,dan,O
11,tarikan,O
11,nya,O
11,mantap,O
11,banget,O
11,.,O
12,Xenia,B-MERK
12,tahun,O
12,2008,O
12,bolak-balik,O
12,jakarta,O
12,-,O
12,bandung,O
12,",",O
12,aki,O
12,tetap,O
12,aman,O
12,.,O
13,#YamahaID,B-MERK
13,Perawatan,O
13,Motor,O
13,Injeksi,O
13,Yamaha,B-MERK
13,Mudah,O
13,dan,O
13,Murah,O
14,Buat,O
14,dalam,O
14,kota,O
14,xpander,B-MERK
14,bagus,O
14,karna,O
14,model,O
14,nya,O
14,kalem,O
14,dan,O
14,kesan,O
14,nya,O
14,car,O
14,city,O
15,brio,B-MERK
15,pajak,O
15,nya,O
15,murah,O
15,karena,O
15,ckd,O
15,daripada,O
15,ignis,B-MERK
15,atau,O
15,sirion,B-MERK
15,yg,O
15,cbu,O
15,pajak,O
15,nya,O
15,agak,O
15,mahal,O
15,trus,O
15,onderdil,O
15,nya,O
15,agak,O
15,susah,O
15,atau,O
15,lama,O
15,kalo,O
15,mau,O
15,klaim,O
15,asuransi,O
16,toyota,B-MERK
16,menang,O
16,harga,O
16,nya,O
16,kalo,O
16,nantinya,O
16,mau,O
16,dijual,O
17,All,B-MERK
17,New,I-MERK
17,Toyota,I-MERK
17,Kijang,I-MERK
17,Innova,I-MERK
17,G,O
17,Diesel,O
17,2017,O
17,.,O
17,Mesin,O
17,bandel,O
17,nan,O
17,irit,O
17,Otolovers,O
17,.,O
18,Khusus,O
18,nya,O
18,Daihatsu,B-MERK
18,Xenia,I-MERK
18,Sporty,I-MERK
18,Manual,O
18,",",O
18,apalagi,O
18,yang,O
18,terbaru,O
18,ini,O
18,",",O
18,di,O
18,samping,O
18,irit,O
18,bbm,O
18,",",O
18,suara,O
18,mesin,O
18,halus,O
18,.,O
18,Tarikan,O
18,lebih,O
18,baik,O
18,dari,O
18,generasi,O
18,sebelumnya,O
18,dan,O
18,akselerasi,O
18,cukup,O
18,baik,O
18,dan,O
18,variasi,O
18,tidak,O
18,terlalu,O
18,monoton,O
18,atau,O
18,ramai,O
18,.,O
19,untuk,O
19,yang,O
19,sekarang,O
19,great,B-MERK
19,new,I-MERK
19,xenia,I-MERK
19,sudah,O
19,mempunyai,O
19,fasilitas,O
19,yang,O
19,wow,O
19,dengan,O
19,harga,O
19,yang,O
19,bersahabat,O
19,bahkan,O
19,lebih,O
19,murah,O
19,daripada,O
19,rival,O
19,nya,O
20,punya,O
20,mobil,B-MERK
20,altis,I-MERK
20,tidak,O
20,awet,O
20,",",O
20,baru,O
20,setahun,O
20,sudah,O
20,rusak,O
20,.,O
21,Xenia,B-MERK
21,ku,I-MERK
21,tipe,I-MERK
21,xi,I-MERK
21,sudah,O
21,1.5,O
21,tahun,O
21,dan,O
21,cukup,O
21,bangga,O
21,dengan,O
21,performa,O
21,nya,O
22,Service,O
22,rutin,O
22,ke,O
22,bengkel,O
22,daihatsu,B-MERK
22,resmi,O
22,gak,O
22,jaminan,O
22,juga,O
22,",",O
22,rem,O
22,-,O
22,ku,O
22,blong,O
22,waktu,O
22,jalan,O
22,",",O
23,Saya,O
23,pakai,O
23,karimun,B-MERK
23,",",O
23,adik,O
23,saya,O
23,pakai,O
23,brio,B-MERK
23,.,O
23,memang,O
23,karimun,B-MERK
23,lebih,O
23,nyaman,O
23,walau,O
23,lebih,O
23,murah,O
23,dari,O
23,brio,B-MERK
23,.,O
24,bodi,O
24,plus,O
24,tampilan,O
24,nya,O
24,Avanza,B-MERK
24,baru,O
24,mantap,O
24,juragan,O
25,Sudah,O
25,dari,O
25,dulu,O
25,Toyota,B-MERK
25,selalu,O
25,kasih,O
25,produk,O
25,super,O
25,mahal,O
25,dengan,O
25,fitur,O
25,pas,O
25,pasan,O
26,udah,O
26,gaya,O
26,nya,O
26,stylish,O
26,ekonomis,O
26,"pula,",O
26,beli,O
26,calya,B-MERK
26,deh,O
27,avanza,B-MERK
27,ini,O
27,mobil,O
27,saya,O
27,yang,O
27,paling,O
27,bandel,O
28,Mobil,O
28,kualitas,O
28,jelek,O
28,kayak,O
28,wuling,B-MERK
28,saja,O
28,masuk,O
28,Indonesia.,O
29,Pelayanan,O
29,bengkel,O
29,daihatsu,B-MERK
29,bagus,O
30,gue,O
30,punya,O
30,xenia,B-MERK
30,xi,I-MERK
30,",",O
30,dasbor,O
30,nabrak,O
30,pohon,O
30,",",O
30,setelah,O
30,dua,O
30,hari,O
30,diperbaiki,O
30,di,O
30,servis,O
30,resmi,O
30,daihatsu,B-MERK
30,",",O
30,langsung,O
30,jadi,O
30,kayak,O
30,baru,O
30,lagi,O
30,",",O
30,keren,O
30,.,O
31,fortuner,B-MERK
31,per,O
31,nya,O
31,keras,O
31,",",O
31,capek,O
32,Lebih,O
32,bagus,O
32,Mobil,B-MERK
32,Esemka,I-MERK
32,",",O
32,Mobil,O
32,Nasional,O
32,Asli,O
32,Buatan,O
32,Dalam,O
32,Negeri,O
32,",",O
32,Harga,O
