id,tweet,subtask_a
86426,@user she should ask a few native americans what their take on this is.,OFF
90194,@user @user go home you’re drunk!!! @user maga trump2020  oncoming fist  united_states: oncoming fist  http,OFF
16820,amazon is investigating chinese employees who are selling internal data to third-party sellers looking for an edge in the competitive marketplace. http amazon maga kag china t cot,NOT
62688,"@user someone should'vetaken"" this piece of shit to a volcano.  face with tears of joy """,OFF
43605,@user @user obama wanted liberals &amp; illegals to move into red states,NOT
97670,@user liberals are all kookoo !!!,OFF
77444,@user @user oh noes! tough shit.,OFF
52415,@user was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism,OFF
45157,@user buy more icecream!!!,NOT
13384,@user canada doesn’t need another cuck! we already have enough looney left liberals f**king up our great country! q proofs trudeau must go,OFF
82776,@user @user @user it’s not my fault you support gun control,NOT
42992,@user what’s the difference between kavanaugh and @user   one of these men admitted to groping a 15 year old girl years ago.  the other is going to be confirmed to the scj   dems are frauds dems are done   walk away democrats 2018 red wave vote red save america trump train maga http,NOT
28414,@user you are a lying corrupt traitor!!! nobody wants to hear anymore of your lies!!! deep state corruption http,OFF
54920,@user @user @user it should scare every american!  she is playing hockey with a warped puck!,NOT
56392,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user i like my soda like i like my boarders with a lot of ice.,NOT
86735,@user you are also the king of taste,NOT
95686,maga @user   musical notes  sing like no one is listening   heart suit  love like you've never been hurt   check mark  vote gop when no one is watching   hear no evil monkey   and don't listen to liberals' dirt http,NOT
71446,"5/5: @user the time is right for this house to respond to the concerns of all canadians. four out of five canadians support stronger gun control and with good reason.” gun control cdn poli cdn hist""",NOT
23958,@user besides jax’s mom and maybe ope he is hands down my favorite he’s like the only good person on the show  face with tears of joy ,NOT
28195,@user @user @user gun control! that is all these kids are asking for!,OFF
56117,@user @user @user @user lol!!!   throwing the bullshit flag on such nonsense!!  put up or shut up   kavanaugh   maga   call the vote already http,OFF
67757,@user @user you are correct.,NOT
12681,@user @user kind of like when conservatives wanna associate everyone to their left as communist antifa members?,OFF
82904,@user @user da fuck is going on people?   there's the men's room and the women's room  pick one and stick w it  thinking face ,OFF
63236,@user been a willie fan since before most of you were born....love that he is holding a rally with beto.... exactly which fans are furious?  could you give some specifics? http,NOT
77665,@user tbh these days i just don't like people in general i just don't connect with people these days just a annoyance..,OFF
83484,"south korean official: “leaders will discuss specific denuke measures in pyongyang”""  http t cot maga red nation rising""",NOT
74932,@user @user you can tell he is a hooper too,NOT
91252,@user i feel like he is better chasing the title,NOT
25440,@user @user @user she?  to whom are you referring to?  hillary?  you know what is tiresome?  bernie supporters bashing hillary clinton.  she is an actual democrat who raises money for the democratic party and doesn’t bash them.  she has a positive message.  so who is dividing the left?,OFF
81613,@user glad to see your friends are supporting metis rights as much as you are supporting zionists. http,NOT
82333,@user yes you are but i was asking what is it about the movie ? man shrugging  eyes:,NOT
12609,the only thing the democrats have is lying and stalling to stop trump from being president.  what have they done for you lately. trump kavanaugh maga dem suck,OFF
13017,@user no wonder he is being apologetic and more social these day....,NOT
18129,@user @user @user any updates re ending your blatant racism as windrush &amp; grenfell proves you are  @user @user all out politics politics live pm qs @user http,NOT
70380,@user @user @user @user @user @user @user @user @user @user @user do you know what’s going to happen now?  i’m going to have to lay in bed and cry while i listen to kelly clarkson. thanks free speech antifa.,NOT
12108,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user you are not very smart are you? why do you think gen flynn’s sentencing keeps being rescheduled? http,OFF
14726,@user @user @user that's expected if you placate the violent leftists/terrorists. kavanaugh confirmation woke,OFF
74358,@user blow hard,NOT
82599,@user @user @user that means you are a max lvl. twitter user and maybe should try a new game,NOT
40212,"@user @user please explain what controlled opposition"" means.  as for bernier escaping, he split with the rest of the conservatives because he's even more racist and exclusionary than they want to be.""",NOT
78367,@user @user @user @user @user socialists politics that stand up for the downtrodden. and well done for conflating criticism of israel with anti semitism. you are also part of the problem.,NOT
