id,tweet,subtask_c
90194,@user @user go home you’re drunk!!! @user maga trump2020  oncoming fist  united_states: oncoming fist  http,IND
97670,@user liberals are all kookoo !!!,OTH
52415,@user was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism,GRP
13384,@user canada doesn’t need another cuck! we already have enough looney left liberals f**king up our great country! q proofs trudeau must go,IND
28414,@user you are a lying corrupt traitor!!! nobody wants to hear anymore of your lies!!! deep state corruption http,IND
28195,@user @user @user gun control! that is all these kids are asking for!,OTH
56117,@user @user @user @user lol!!!   throwing the bullshit flag on such nonsense!!  put up or shut up   kavanaugh   maga   call the vote already http,IND
12681,@user @user kind of like when conservatives wanna associate everyone to their left as communist antifa members?,GRP
82904,@user @user da fuck is going on people?   there's the men's room and the women's room  pick one and stick w it  thinking face ,GRP
77665,@user tbh these days i just don't like people in general i just don't connect with people these days just a annoyance..,IND
12609,the only thing the democrats have is lying and stalling to stop trump from being president.  what have they done for you lately. trump kavanaugh maga dem suck,GRP
12108,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user you are not very smart are you? why do you think gen flynn’s sentencing keeps being rescheduled? http,IND
14726,@user @user @user that's expected if you placate the violent leftists/terrorists. kavanaugh confirmation woke,GRP
84102,4 out of 10 british people are basically full-on racists. 4 out of 10 voters vote for the conservatives. coincidence!???!???,GRP
98992,@user fuck off,IND
33853,"@user @user the prison system is so fucked.  why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane? they did this in louisiana and like 500 inmates went missing""""",OTH
75215,@user @user she is useless.  attempts to do the right thing but never follows through.,IND
57013,@user grateful trump doesn’t have a dog in the white house. he is a cruel man.,IND
74831,@user trump kicks dem butt - its so fun.,IND
53264,@user @user @user he is dumb and dumber all in one president.  it's a two for one.,IND
84664,@user and this from the clown that should be in prison?,IND
48995,@user thats because you are an old man.,IND
47153,@user @user @user they are obstructionists. anti-american. pharisees. ask them what they are running on and you get nothing. maga!,OTH
64429,@user i mean it worked for gun control right? http,GRP
45068,@user she is drinking so much koolaid she’s bloated.,IND
84667,@user @user @user @user the institution only let her tweet when she behaves. she is a window licker!!!!,IND
93119,wtc this is a threat!!! ..@user maga q a non wake up america http,IND
21379,@user @user @user please call trump out for what he is...a narcissistic sociopath!,IND
52252,@user fuck em,GRP
91001,@user good move....he is the big loser,IND
80561,@user @user there are many dumb arguments for gun control but this may be the dumbest and most common.,IND
39907,@user @user @user please don't kill me. antifa on the other hand...,IND
77294,@user @user she is an ugly black hearted troll http,IND
28841,@user @user we have been saved from you! maga!,IND
59998,"@user you can probably imagine all the sjw snowflakes that don't feel safe"" working where there might be conservatives lurking in the shadows.  conservatives are now the ruskies of the 21st century.""",IND
28812,@user this all i get  crying face  damn these haters deleting you ig for no reason... http,GRP
64776,@user sjshsj thats my job bitch,IND
69972,@user @user @user what part of no collusion don't you get??? this is why you are a dumocrat,IND
96789,"@user if the reason for farakans illegal values are because he is black or muslim, that would be a reason to detest him. i believe his illegal values are simply a result of bad character, like his supporters!""",GRP
68629,@user let the leftist democrats riot in the streets with their antifa counterparts.,IND
77319,@user @user antifa is not giving death threats to professor ford or threatening violence if their candidate loses or spanky is impeached.,IND
49504,@user so has the law changed...you just make an allegation now days and your guilty until proven innocent. liberals are mentally ill!,GRP
31229,@user this game sucks donkey balls,GRP
88546,@user absolutely should be a nail in the coffin.... for hilliary,IND
32897,@user he is a dumbass !!!!!,IND
62072,@user @user @user @user @user @user @user @user @user @user @user ...and levi strauss wanting gun control how many of us wonder why the heck do they want our freedoms taken away ~ or is it just selective freedoms? http,GRP
95444,@user at this point in time... i don't think pres. trump gives a sh*t... and neither do i! lol http,IND
62481,@user donnie jr. you and your family owe the country an apology for taking your criminal activities into our white house you are lining your pockets while your father is unfit and making a mockery of our republic. shame on you and your family. justice will prevail,IND
39021,@user oh my carmen. he is so fricking cute,IND
68840,@user chelsea is as crazy as her mother,IND
32916,"@user and the brainless dems wants us to believe that he doesn't have the majority. liberals is just like their leaders"" the corrupts obama and crooked hillary both are real bad losers maga trump""",GRP
18547,@user @user california gun control is direct result of white people scared of black panthers using their right to bear arms. nra had no problem with that gun control!,GRP
82607,@user @user and yet millions of permit holding people carried legally concealed firearms that same day and didn’t hurt themselves or anyone else.   but yet they want to have stronger gun control.   idiots!   face with raised eyebrow   our wonderful media has to hype incidents that fits their agenda.,GRP
82339,@user yes do hurt your selves gun control freaks.,GRP
34510,@user @user @user bullshit! regulations are good because it keeps conservatives from striping our land into the abyss,GRP
53501,@user the owner of my culo,IND
69928,now she scarred herself for life lol maga http,IND
31853,@user you fucking -,IND
13872,confirm the man! the left wing activist is a liar who's story changes! no hard evidence! christine blase y ford innocent until proven guilty! confirm kavanaugh  maga  @user  weak rinos republicans,GRP
28985,i'm assuming i'm not going to get an answer': brainless  liberal stooge ocasio-cortez  .@user on $40t policy plan http wake up america  this is not america's future vote republican  or surrender america to these dem morons @user maga,OTH
74004,@user @user leftists showing yet again how vile they can be,GRP
70838,@user he is a drunk crazy man.,IND
15991,@user all that money hadn't made u smarter.,IND
16885,@user by the way why don’t you move to haiti ? you liberals seem to make shit holes out of large cities. so go somewhere where it’s already a shit hole so you don’t have to do any work !,GRP
19514,shouldn't pussy grabbing @user be the one wearing the gloves while handling food? maga http,IND
34317,"@user @user @user @user @user @user @user @user @user @user @user @user antifa doesn't beat facsists to try to get them to change their mind - they know it's a lost cause to try to change a fascist's mind. they do it to scare them into hiding, to demoralize them, and to stop the spread of their hateful ideology. there is no forcing views on others"".""",IND
36289,fire morning joe he is cut from the same cloth as all other conservatives. his misogyny and bigotry are always on display. he is responsible for trump. http,GRP
86477,@user @user @user @user @user @user @user @user @user it does work. if you want to control a population.  australian gun control had no effect on homicides.,OTH
44015,@user @user liberals ruin everything!,GRP
11411,@user that's what happens when you let a liberal get a hold of a gun.  that would be a good place to start gun control.  ban liberals from getting guns.,GRP
10133,@user @user you look happy .maga,IND
29497,@user yet she is fat herself.,IND
97300,@user @user @user what a joke! she is a gem alright!! she is a racist phony! right along with this racist phony. that thinks she will follow me from her second account. and block me. because i speak the truth. i could care less about follower's. like it's a big party. i care that they discriminate http,IND
14808,@user @user @user may be you have forgotten that at the moment we are eu citizens and so all rights afforded to us are the same as for other eu citizens. don’t believe all the shit that goes on in your head.,GRP
87300,@user cause who bitches be playing with  loudly crying face  loudly_crying_face: loudly crying face  loudly_crying_face: god aint give me the gift for nothing,GRP
80497,@user coming from the man that threatened to try and kick turmps ass now don't that take a set of ball's,IND
97277,@user getting scared ugly man?,IND
77769,&amp; terroism &amp; starvation &amp; flint &amp; poverty &amp; climate change &amp; global warming &amp; sex trafficking &amp; bullying &amp; body shaming &amp; police brutality &amp; feminism &amp; gun control &amp; marches &amp; protests,IND
33096,@user hahaha big thighs is not going to make it,IND
81470,"maga christine ford trump2020 t cot c cot america first patriots @user  brett kavanaugh had this to say about bill clinton during whitewater:   it's imperative to make his pattern of revolting behavior clear -- piece by painful piece.""   indeed. http",IND
20322,"maga people are very low iq. gdp growth"" means literally nothing. in no way does this translate to higher income for white familes or individuals. all that billions goes to companies or government.   and what jobs did he create? labour which pays less than living wage lmao? http",IND
60130,@user bro go watch how he hold his backwood in the interview like that shit was irritating lmao nigga is mad suspicious,IND
54559,a bitch built like that could beat my ass all she wants http,IND
14285,@user @user very pathetic man !,IND
42133,@user @user @user @user @user @user you must be talking about hateful conservatives.,GRP
18834,@user @user thats correct!!! maga,IND
38043,@user @user @user this leftist is what is wrong in liberal colleges. more ppl and students will come out and will unmask this corrupt woman who is determined to destroy a good judge because she wants only liberals in the courts. @user  @user  @user,IND
76709,"@user @user @user @user this is great! mark the great one"" levin and candace ""the great"" owens together! this team is unbeatable! they just sent liberals into a frenzy again! a whole block of liberal voters just had their heads explode! and...sadly, alyssa milano just wet her pants again! great team!""",GRP
22728,@user strata data a i data hairball: @user tdavis touring the application of cognitive and machine learning techniques to speed governance of data http,GRP
11640,@user @user @user @user i wasn't proposing scare tactics. i really meant what i said. trump can easily pull the good maga republicans and can easily steal enough votes from gop dem and independents and will bring fresh breath to our rotten politics. think about it.,IND
47009,@user @user @user @user only a liberal would support a liberal that spent a million to get liberals elected to office. lib fail! http,GRP
97936,@user it’s so weirdly vicious and bitter to extrapolate from ‘everyone should have access to decent healthcare’ to ‘liberals think all criminals should be free.’  it reveals a pretty brutalist and impenetrable mind.,GRP
72024,@user why? why are liberals so trashy?,GRP
98547,@user yes i saw this and i will say tapper kept basket her and she kept coming back with stupid answers and he finally gave up i don’t think he is a big fan of her policies he’s not that stupid please,IND
98382,@user if you go by anything other than he or she you are fucked in the head.,IND
71577,@user all you need to know is he is empty inside,IND
17391,@user the liberals are mentally unstable!!,GRP
34443,@user @user who authorized a search warrant of mr jean home?  racist what about her drug test. this is premediated murder. he will not be slandered. he is the victim.,IND
22185,@user @user @user i have heard he is making waves,IND
77089,thursday thoughts- fuck liberals. forever.,GRP
79972,@user once again it's been proven that all gun control laws are intended to disarm the law abiding citizens and subvert the 2a. criminal *don't* care about gun laws.,GRP
30085,@user @user mxm nigger thinks we give a fuck http,IND
95773,@user @user she is a fake. vote her out. now she wants sympathy.,IND
51053,10kids from different women from this american jobless men? nigerian men you are the bomb!!!,OTH
14131,@user this russian agent is a disgrace. hey old creep @user you are going to die in prison. you and trump sold america to the russians and it’s time you do the time for your years of crimes. scumbag.,IND
53995,@user we shouldn’t be surprised. these same pigs worked with neonazis to unmask antifa protestors. and the local coverage by shit journos like @user didn’t cover that at all. we had to rely on @user for investigative coverage http,GRP
82171,@user @user because 45% of americans are too lazy to vote.  non-voters skew liberal. and too many liberals who do vote throw their vote away on 3rd party losers. next question?,OTH
50936,"@user @user i'm sure he doesn't call his gated community's private security firm bull connors"" though. it's funny: now liberals love privatization of police!""",GRP
97580,@user @user wonder how many children he molested,IND
54991,@user @user oh you are in england?  your views on gun control stopped mattering in 1776.,IND
55051,@user @user @user @user @user @user this is the antifa party &amp; all of a sudden they expect us to believe they care about anyone besides themselves. nope.,OTH
58548,@user @user wonder if he apologized to diamond and silk for calling them a “minstrel show?”  he should have been fired but there he is making faces.,IND
41277,@user which is why it’s awesome that kavanaugh didn’t shake that gun control dads hand.  sorry for kid was killed by a gun but it’s not the future judges fault it happened...... omg white people in cities are silly,GRP
51592,@user john podesta is a spirit cooking pedo. here's a photo of him and valerie jarrett in a rather compromising situation.  maga q a non drain the deep state drain the swamp http,IND
56068,@user i love the way this pisses off liberals. http,GRP
88585,@user @user @user my auto correct gggrrr she is a *crazy witch*,GRP
14234,"@user @user when i turned the speech on it sounded to me like liberals becoming another nasty party"" with his personal attacks on various individuals.""",GRP
97329,@user another negative democrat who refuses to disappear!,IND
85409,.@user as my elected mp could you please explain why @user is still promoting ideas that the eu have already rejected? we've 6 months to go and nothing appears to be moving onward. @user are like the blind leading the blind br exit shambles br exit means br exit http,GRP
14118,@user so she can’t be effected by the radiation but killed. i hope he mentions lady gaga witch. since she is the only known immortal witch and supreme,IND
63792,(2020 election season)  trump: my dick is the most magnificent dick. just tremendous.   leftists: prove it you russian puppet!  trump: *whips dick out in fit of senility*  conservatives: *vote trump to victory*,IND
82293,@user @user @user @user interesting when demoncraps aren't even inventive enough to create their own cartoons.  this is originally put out by republicans - liberals are the koolaide drinkers and always have been. liberals are also the scum of the earth and prove it daily through their lies,GRP
61533,@user ajsjjsjdkkdjdk i want him so much he’d literally tell me to die and i’d obey him,GRP
40857,@user @user @user @user he’s dead. so you are a necrophiliac as well? good to know...you must suck at chess never mind 3 dimensional chess...you can’t even think one move ahead let alone many...change your twitter handle to dumbaf not even ish face with rolling eyes  face_with_rolling_eyes: face with rolling eyes ,IND
23228,"@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user they get testy and decide you're a paid shill"" a lot, if you end up hanging around qanon you'll get used to it.""",GRP
78473,@user @user @user trump is a very sick man. he is toxic and mean spirited.,IND
30890,va10 voters know @user is the right side of the gun issue. gun control or gun rights? the answer may help determine whether nra-financed rep. comstock wins reelection http,GRP
92935,@user osha e terry thug life criminal behaved as an ordinary disposable criminal. maga maga2020 magarallyrules texas police,IND
86626,@user @user she is full of bunk.,IND
18702,@user hell did they boycott mcenroe.....this is too much!!,IND
78567,@user im going hardcore bitch,IND
80107,@user i used to do signifing monkey by heart. played it for the wife and she is like what the hell?,IND
84294,@user i think she is the one mad.  she didnt like being called out so she is trying to make them bully me.  grinning squinting face ,IND
53037,@user @user @user so she is disgusting to you because she is a rangers fan! you are disgusting to me because you support breaking up the union!  proud to be british  united kingdom ,IND
10605,@user they should. hopefully voters will realise that they could have ended this shitshow well before the midterms.,GRP
93280,@user @user @user i think i missed a few replies here (im on a conference call) but most of the anti jihadi muslim vets i know would disagree with gun control. so this seems odd...?,IND
97831,@user look at all these racist white liberals freaking out because i said tom arnold has white privileged.,GRP
82366,@user hubby rushed me *shakes fist* will flick a pic thru this evening when i feed em again. by the way he is still the boss,IND
70315,@user @user omg !!!! really !!! frank oz ... liberals ruins everything ... de fund pbs..,GRP
83457,@user @user wow!!! never thought i'd see the left actually admitting they want to shut down free speech unless it's their own. at least they are admitting they are the  facist. after all they did create the 2 most facist groups...antifa and kkk.,GRP
14877,@user rip lmao who knows  face with tears of joy  that's why i'm trying so hard not to expose my shits since they can't never relate anyway,IND
33095,@user awful,OTH
50390,@user i don't know anything about the kkk although i believe the democrats fund them like they always did.  i think the dems main terror group these days is antifa.,GRP
38444,@user @user @user she is absolutely useless. everyone knows it except for her and the media.,IND
77647,@user does anyone care what that dirtbag says???,IND
30426,@user @user not a snowballs chance in hell dimwit dem. start taking losing like a man.....err...like a....uhm? whatever you identify as today. we will maga not tired of winning see you in november for the redwaverising2018 you can't stop scotus k avena ugh,IND
38806,@user hopefully your obesity catches up with you by then,IND
36795,@user       thank you for your fortitude and perseverance. please give mcconnell a kick in the butt from some of us conservatives.,IND
21223,@user yessssshhhhh who else call you shitgull if it were not me or ryme  kissing face with closed eyes ,IND
25469,@user she’s one of those ‘kooky’ liberals.,IND
74815,@user like if you didn’t get fired from espn,IND
67895,@user those students not traumatised by having live shooter drills or distracted by fear of being killed at school are already doing their best. send your kid to one of those schools and we might get some action on gun control. hypocrite.,IND
99912,@user @user poor sad liberals. no hope for them.,GRP
69106,i got more common sense than all of my followers  :),GRP
47490,@user cbs sez ceo leslie moonves' out on his ass after several allegations he was chasing ass... coo joseph iannello will be interim ceo until somebody accuses him of the same thing... this 'shit' never ends... ooops...,IND
77519,@user even if the devil did make every single one of those priests rape children... why does the pope refuse to condemn it? why didn't he remove from leadership the rapist brought to him?,OTH
20232,@user i didn’t tweet this lol i needa get my twitter off this shit,IND
32990,@user she is.  ur screwed.  trump owns scotus and he will exact a wrath upon enemies after the midterms,IND
64626,@user then haul your fat ass in harms way you druggie!!!,IND
39729,@user @user anyone can say or write anything about themselves. suppose tomorrow she says that she is a prophet and human race needs to follow her.  what does that tell about her ?  once i see someone as useless moron i stop giving them any attention. you do the same brother. she is nobody.,IND
93056,@user @user he is delirious!,IND
